Watching for file changes with StatReloader
Waiting for apps ready_event.
Apps ready_event triggered. Sending autoreload_started signal.
Watching dir /app/locale with glob **/*.mo.
Watching dir /app/taskmanager/tasks/locale with glob **/*.mo.
File /usr/local/lib/python3.10/site-packages/colorama/initialise.py first seen with mtime 1742674082.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/base/validation.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/tempfile.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/email/mime/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/_compat_pickle.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/core/checks/async_checks.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/_compression.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/base_tasks.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/wsgiref/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/subprocess.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/mimetypes.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/asyncio/base_events.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/base/operations.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/template/loaders/filesystem.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/middleware/cache.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/bz2.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/decorators.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/db/migrations/migration.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/email/policy.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/wsgiref/util.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/views/decorators/cache.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/auth/checks.py first seen with mtime 1742674085.0
File /usr/local/lib/python3.10/site-packages/django/template/engine.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/asyncio.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/collections/abc.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/psycopg2/_ipaddress.py first seen with mtime 1742674081.0
File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/db/backends/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/lib-dynload/_opcode.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260527.0
File /usr/local/lib/python3.10/site-packages/django/conf/__init__.py first seen with mtime 1742674084.0
File /usr/local/lib/python3.10/site-packages/django/contrib/messages/__init__.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/management/commands/runserver.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/encodings/__init__.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/lib-dynload/_asyncio.cpython-310-aarch64-linux-gnu.so first seen with mtime 1742260529.0
File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/core/mail/message.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/_distutils_hack/__init__.py first seen with mtime 1742260571.0
File /usr/local/lib/python3.10/site-packages/colorama/win32.py first seen with mtime 1742674082.0
File /usr/local/lib/python3.10/site-packages/django/contrib/messages/constants.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/messages/apps.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/duration.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/views/decorators/csrf.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/contrib/sessions/models.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/site-packages/django/utils/cache.py first seen with mtime 1742674086.0
File /usr/local/lib/python3.10/asyncio/unix_events.py first seen with mtime 1742260550.0
File /usr/local/lib/python3.10/site-packages/django/forms/renderers.py first seen with mtime 1742674086.0
